movieId,title,userId,rating
1,Toy Story (1995),1,4
1,Toy Story (1995),5,4
1,Toy Story (1995),7,4.5
1,Toy Story (1995),15,2.5
1,Toy Story (1995),17,4.5
1,Toy Story (1995),18,3.5
1,Toy Story (1995),19,4
1,Toy Story (1995),21,3.5
1,Toy Story (1995),27,3
1,Toy Story (1995),31,5
1,Toy Story (1995),32,3
1,Toy Story (1995),33,3
1,Toy Story (1995),40,5
1,Toy Story (1995),43,5
1,Toy Story (1995),44,3
1,Toy Story (1995),45,4
1,Toy Story (1995),46,5
1,Toy Story (1995),50,3
1,Toy Story (1995),54,3
1,Toy Story (1995),57,5
1,Toy Story (1995),63,5
1,Toy Story (1995),64,4
1,Toy Story (1995),66,4
1,Toy Story (1995),68,2.5
1,Toy Story (1995),71,5
1,Toy Story (1995),73,4.5
1,Toy Story (1995),76,0.5
1,Toy Story (1995),78,4
1,Toy Story (1995),82,2.5
1,Toy Story (1995),86,4
1,Toy Story (1995),89,3
1,Toy Story (1995),90,3
1,Toy Story (1995),91,4
1,Toy Story (1995),93,3
1,Toy Story (1995),96,5
1,Toy Story (1995),98,4.5
1,Toy Story (1995),103,4
1,Toy Story (1995),107,4
1,Toy Story (1995),112,3
1,Toy Story (1995),119,3.5
1,Toy Story (1995),121,4
1,Toy Story (1995),124,4
1,Toy Story (1995),130,3
1,Toy Story (1995),132,2
1,Toy Story (1995),134,3
1,Toy Story (1995),135,4
1,Toy Story (1995),137,4
1,Toy Story (1995),140,3
1,Toy Story (1995),141,4
1,Toy Story (1995),144,3.5
1,Toy Story (1995),145,5
1,Toy Story (1995),151,5
1,Toy Story (1995),153,2
1,Toy Story (1995),155,3
1,Toy Story (1995),156,4
1,Toy Story (1995),159,4.5
1,Toy Story (1995),160,4
1,Toy Story (1995),161,4
1,Toy Story (1995),166,5
1,Toy Story (1995),167,3.5
1,Toy Story (1995),169,4.5
1,Toy Story (1995),171,5
1,Toy Story (1995),177,5
1,Toy Story (1995),178,4
1,Toy Story (1995),179,4
1,Toy Story (1995),182,4
1,Toy Story (1995),185,4
1,Toy Story (1995),186,4
1,Toy Story (1995),191,4
1,Toy Story (1995),193,2
1,Toy Story (1995),200,3.5
1,Toy Story (1995),201,5
1,Toy Story (1995),202,4
1,Toy Story (1995),206,5
1,Toy Story (1995),213,3.5
1,Toy Story (1995),214,3
1,Toy Story (1995),216,3
1,Toy Story (1995),217,4
1,Toy Story (1995),219,3.5
1,Toy Story (1995),220,5
1,Toy Story (1995),223,3.5
1,Toy Story (1995),226,3.5
1,Toy Story (1995),229,5
1,Toy Story (1995),232,3.5
1,Toy Story (1995),233,3
1,Toy Story (1995),234,5
1,Toy Story (1995),239,4
1,Toy Story (1995),240,5
1,Toy Story (1995),247,5
1,Toy Story (1995),249,4
1,Toy Story (1995),252,4.5
1,Toy Story (1995),254,4.5
1,Toy Story (1995),263,4
1,Toy Story (1995),264,4
1,Toy Story (1995),266,2
1,Toy Story (1995),269,5
1,Toy Story (1995),270,5
1,Toy Story (1995),273,5
1,Toy Story (1995),274,4
1,Toy Story (1995),275,5
1,Toy Story (1995),276,4
1,Toy Story (1995),277,4
1,Toy Story (1995),279,3
1,Toy Story (1995),280,4.5
1,Toy Story (1995),282,4.5
1,Toy Story (1995),283,3
1,Toy Story (1995),288,4.5
1,Toy Story (1995),290,4
1,Toy Story (1995),291,4
1,Toy Story (1995),292,4
1,Toy Story (1995),293,3
1,Toy Story (1995),298,2
1,Toy Story (1995),304,5
1,Toy Story (1995),307,4
1,Toy Story (1995),314,3
1,Toy Story (1995),322,3.5
1,Toy Story (1995),323,3.5
1,Toy Story (1995),328,5
1,Toy Story (1995),330,4
1,Toy Story (1995),332,4
1,Toy Story (1995),334,3.5
1,Toy Story (1995),336,4
1,Toy Story (1995),337,4
1,Toy Story (1995),339,4
1,Toy Story (1995),341,5
1,Toy Story (1995),347,5
1,Toy Story (1995),350,4
1,Toy Story (1995),353,5
1,Toy Story (1995),357,5
1,Toy Story (1995),359,4
1,Toy Story (1995),364,5
1,Toy Story (1995),367,5
1,Toy Story (1995),372,3
1,Toy Story (1995),373,3
1,Toy Story (1995),378,4.5
1,Toy Story (1995),380,5
1,Toy Story (1995),381,3.5
1,Toy Story (1995),382,4.5
1,Toy Story (1995),385,4
1,Toy Story (1995),389,5
1,Toy Story (1995),391,3
1,Toy Story (1995),396,5
1,Toy Story (1995),399,4
1,Toy Story (1995),401,3.5
1,Toy Story (1995),411,5
1,Toy Story (1995),412,2
1,Toy Story (1995),414,4
1,Toy Story (1995),420,4
1,Toy Story (1995),422,4
1,Toy Story (1995),432,2.5
1,Toy Story (1995),434,4
1,Toy Story (1995),436,4
1,Toy Story (1995),438,4.5
1,Toy Story (1995),443,4
1,Toy Story (1995),448,5
1,Toy Story (1995),451,5
1,Toy Story (1995),453,5
1,Toy Story (1995),456,5
1,Toy Story (1995),460,4.5
1,Toy Story (1995),462,1.5
1,Toy Story (1995),468,4
1,Toy Story (1995),469,4
1,Toy Story (1995),470,4
1,Toy Story (1995),471,5
1,Toy Story (1995),474,4
1,Toy Story (1995),476,4
1,Toy Story (1995),477,4
1,Toy Story (1995),480,3
1,Toy Story (1995),483,4
1,Toy Story (1995),484,4.5
1,Toy Story (1995),488,4.5
1,Toy Story (1995),490,3.5
1,Toy Story (1995),492,4
1,Toy Story (1995),500,4
1,Toy Story (1995),504,4
1,Toy Story (1995),509,4
1,Toy Story (1995),514,4
1,Toy Story (1995),517,4
1,Toy Story (1995),522,3
1,Toy Story (1995),524,4
1,Toy Story (1995),525,4
1,Toy Story (1995),528,2.5
1,Toy Story (1995),529,3
1,Toy Story (1995),533,5
1,Toy Story (1995),534,4
1,Toy Story (1995),541,3
1,Toy Story (1995),544,3
1,Toy Story (1995),550,4
1,Toy Story (1995),555,4
1,Toy Story (1995),559,5
1,Toy Story (1995),560,3
1,Toy Story (1995),561,4
1,Toy Story (1995),562,4.5
1,Toy Story (1995),567,3.5
1,Toy Story (1995),570,4
1,Toy Story (1995),572,4
1,Toy Story (1995),573,5
1,Toy Story (1995),579,4
1,Toy Story (1995),580,3
1,Toy Story (1995),584,5
1,Toy Story (1995),587,5
1,Toy Story (1995),590,4
1,Toy Story (1995),596,4
1,Toy Story (1995),597,4
1,Toy Story (1995),599,3
1,Toy Story (1995),600,2.5
1,Toy Story (1995),601,4
1,Toy Story (1995),603,4
1,Toy Story (1995),604,3
1,Toy Story (1995),605,4
1,Toy Story (1995),606,2.5
1,Toy Story (1995),607,4
1,Toy Story (1995),608,2.5
1,Toy Story (1995),609,3
1,Toy Story (1995),610,5
2,Jumanji (1995),6,4
2,Jumanji (1995),8,4
2,Jumanji (1995),18,3
2,Jumanji (1995),19,3
2,Jumanji (1995),20,3
2,Jumanji (1995),21,3.5
2,Jumanji (1995),27,4
2,Jumanji (1995),51,4.5
2,Jumanji (1995),62,4
2,Jumanji (1995),68,2.5
2,Jumanji (1995),82,3
2,Jumanji (1995),91,3
2,Jumanji (1995),93,5
2,Jumanji (1995),94,4
2,Jumanji (1995),103,4
2,Jumanji (1995),104,3
2,Jumanji (1995),107,5
2,Jumanji (1995),112,1.5
2,Jumanji (1995),117,3
2,Jumanji (1995),122,4
2,Jumanji (1995),125,4
2,Jumanji (1995),135,3
2,Jumanji (1995),140,3.5
2,Jumanji (1995),144,3
2,Jumanji (1995),149,1
2,Jumanji (1995),153,2
2,Jumanji (1995),160,4
2,Jumanji (1995),169,4
2,Jumanji (1995),177,3.5
